ISBN	Schlagwortart Code	Schlagwort Code	Schlagwortart Beschreibung	Schlagwort	Reihenfolge	Anzahl Zuordnungen	Code	Tabellennr.	
9783525623862	VLB	VLB-Schlagworte	4059370-8	Telefonseelsorge	10000			5024600	
9783899716399	VLB	VLB-Schlagworte	118593234	Petrarca, Francesco	10000			5024600	
9783899716399	VLB	VLB-Schlagworte	4317742-6	Canzoniere	20000			5024600	
9783899716399	VLB	VLB-Schlagworte	4399198-1	Selbst (Motiv)	30000			5024600	
9783899716399	VLB	VLB-Schlagworte	4145195-8	Bewusstwerdung (Motiv)	40000			5024600	
9783899716399	VLB	VLB-Schlagworte	4049716-1	Rezeption	60000			5024600	
9783525100325	VLB	VLB-Schlagworte	4011882-4	Deutschland	10000			5024600	
9783525100325	VLB	VLB-Schlagworte	4154770-6	Flugschrift	20000			5024600	
9783525100325	VLB	VLB-Schlagworte	4016641-7	Feindbild	30000			5024600	
9783525100325	VLB	VLB-Schlagworte	4068999-2	Ausland	40000			5024600	
9783899717303	VLB	VLB-Schlagworte	4011889-7	Deutschland (Bundesrepublik)	10000			5024600	
9783899717303	VLB	VLB-Schlagworte	4035964-5	Literatur	20000			5024600	
9783899717303	VLB	VLB-Schlagworte	4041316-0	Nationalsozialismus	30000			5024600	
9783899717303	VLB	VLB-Schlagworte	4061672-1	Vergangenheitsbew‰ltigung	40000			5024600	
9783899717303	VLB	VLB-Schlagworte	4011890-3	Deutschland (DDR)	50000			5024600	
9783525512265	VLB	VLB-Schlagworte	4001761-8	Amos (Buch)	10000			5024600	
9783525538876	VLB	VLB-Schlagworte	4028700-2	Johannesevangelium	10000			5024600	
9783525538876	VLB	VLB-Schlagworte	4185072-5	Theologia crucis	20000			5024600	
9783525538876	VLB	VLB-Schlagworte	4010141-1	Christologie	40000			5024600	
9783525538876	VLB	VLB-Schlagworte	4015508-0	Eschatologie	50000			5024600	
9783525404522	VLB	VLB-Schlagworte	4174288-6	Philosophische Praxis	10000			5024600	
9783647370088	VLB	VLB-Schlagworte	4022153-2	Groﬂbritannien	10000			5024600	
9783647370088	VLB	VLB-Schlagworte	4037653-9	Marktwirtschaft	20000			5024600	
9783647370088	VLB	VLB-Schlagworte	4066438-7	Wirtschaftsentwicklung	30000			5024600	
9783899712797	VLB	VLB-Schlagworte	7572994-5	Schloss Iburg / Rittersaal	10000			5024600	
9783525620069	VLB	VLB-Schlagworte	4393706-8	Evangelisches Gesangbuch (Werk)	10000			5024600	
9783525620069	VLB	VLB-Schlagworte	4120567-4	Kirchenlied	20000			5024600	
9783525620069	VLB	VLB-Schlagworte	4167638-5	Liedpredigt	30000			5024600	
9783647580135	VLB	VLB-Schlagworte	4073409-2	Kinderliteratur	10000			5024600	
9783647580135	VLB	VLB-Schlagworte	4028911-4	Jugendliteratur	20000			5024600	
9783647580135	VLB	VLB-Schlagworte	4049422-6	Religionsunterricht	30000			5024600	
9783525461730	VLB	VLB-Schlagworte	4032844-2	Krankheit	10000			5024600	
9783525461730	VLB	VLB-Schlagworte	4582260-8	Systemische Familientherapie	20000			5024600	
9783525367117	VLB	VLB-Schlagworte	4114364-4	Latein	10000			5024600	
9783525367117	VLB	VLB-Schlagworte	4023287-6	Handschrift	20000			5024600	
9783525367117	VLB	VLB-Schlagworte	4003311-9	Astronomie	30000			5024600	
9783525367117	VLB	VLB-Schlagworte	4012044-2	Diagramm	40000			5024600	
9783525825051	VLB	VLB-Schlagworte	2003658-9	Akademie der Wissenschaften zu Gˆttingen	10000			5024600	
9783525825051	VLB	VLB-Schlagworte	35495-8	Preuﬂische Akademie der Wissenschaften	20000			5024600	
9783525825051	VLB	VLB-Schlagworte	4141681-8	Akademie der Wissenschaften	30000			5024600	
9783525825051	VLB	VLB-Schlagworte	4156614-2	Entstehung	40000			5024600	
9783525501658	VLB	VLB-Schlagworte	4049426-3	Religionswissenschaft	10000			5024600	
9783525501658	VLB	VLB-Schlagworte	4049396-9	Religion	20000			5024600	
9783525501658	VLB	VLB-Schlagworte	4455022-4	Vergleichende Religionswissenschaft	30000			5024600	
9783525208540	VLB	VLB-Schlagworte	118519859	Celan, Paul	10000			5024600	
9783525208540	VLB	VLB-Schlagworte	4046449-0	Poetik	20000			5024600	
3525713991	VLB	VLB-Schlagworte	4076778-4	Rˆmisches Reich	10000			5024600	
3525713991	VLB	VLB-Schlagworte	4046588-3	Politisches Verhalten	20000			5024600	
3525713991	VLB	VLB-Schlagworte	4050164-4	Ritual	30000			5024600	
9783525874394	VLB	VLB-Schlagworte	4138628-0	Freie evangelische Gemeinde	10000			5024600	
9783899711523	VLB	VLB-Schlagworte	4064689-0	Wasser	10000			5024600	
9783899711523	VLB	VLB-Schlagworte	4058716-2	Symbol	20000			5024600	
9783899711523	VLB	VLB-Schlagworte	4010074-1	Christentum	30000			5024600	
9783899711523	VLB	VLB-Schlagworte	4059150-5	Taufe	60000			5024600	
9783899711523	VLB	VLB-Schlagworte	4001451-4	Alter Orient	70000			5024600	
9783899711523	VLB	VLB-Schlagworte	4049396-9	Religion	100000			5024600	
9783899711523	VLB	VLB-Schlagworte	4093976-5	Griechenland (Altertum)	110000			5024600	
9783899711523	VLB	VLB-Schlagworte	4076778-4	Rˆmisches Reich	150000			5024600	
9783899711523	VLB	VLB-Schlagworte	4129954-1	Fr¸hchristentum	190000			5024600	
9783647369556	VLB	VLB-Schlagworte	4076310-9	Prag	10000			5024600	
9783647369556	VLB	VLB-Schlagworte	4028808-0	Juden	20000			5024600	
9783647369556	VLB	VLB-Schlagworte	4067864-7	Zionismus	30000			5024600	
9783647369556	VLB	VLB-Schlagworte	4113292-0	Deutsch	40000			5024600	
9783647369556	VLB	VLB-Schlagworte	4061084-6	Tschechisch	50000			5024600	
9783647369556	VLB	VLB-Schlagworte	4033569-0	Kulturkontakt	60000			5024600	
9783899711790	VLB	VLB-Schlagworte	4028859-6	Jugend	10000			5024600	
9783899711790	VLB	VLB-Schlagworte	4167050-4	Lebensplan	20000			5024600	
9783899711790	VLB	VLB-Schlagworte	4510173-5	Soziales Kapital	30000			5024600	
9783899711790	VLB	VLB-Schlagworte	4519498-1	Interkulturalit‰t	40000			5024600	
9783525825457	VLB	VLB-Schlagworte	4015701-5	Europa	10000			5024600	
