ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-525-40413-3;Familienalltag mit psychisch auffälligen Jugendlichen;Baierl, Martin;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99730-8;Kompetenzorientiertes Lehren und Lernen im Religionsunterricht;Obst, Gabriele;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-49137-9;Systemische Therapie in Aktion;Bleckwedel, Jan;20110406;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-40469-0;Kreatives und therapeutisches Schreiben;Heimes, Silke;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-54033-7;Expanding Ezekiel;Mackie, Timothy P.;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-36998-3;Moj?esz Schorr und Majer Ba?aban;Gotzen-Dold, Maria;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56410-4;'Er ist unser Friede';Hofheinz, Marco;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-55076-3;The Courtier and the Governor;Burt, Sean;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-70207-9;Inklusion im Religionsunterricht;Grasser, Patrick;20140618;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-49153-9;Beruflich in Griechenland;Maurus, Melanie /Thomas, Alexander;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-52201-2;Handbuch pfingstliche und charismatische Theologie;-;20140716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30070-1;Kommunikation im Musikleben;-;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-61508-9;konfi live;-;20140327;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-77010-9;Religion mit Kindern 3;Steinkühler, Martina;20150218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54209-5;Juden und Christen unter römischer Herrschaft;-;20150715;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99630-1;Jerusalem;Küchler, Max;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-80006-6;Die 1980er Jahre;-;20140408;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-56017-5;Existenzangst und Mut zum Sein;-;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30065-8;Vernunft und Imperium;Winnerling, Tobias;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99671-4;Handbook of Dutch Church History;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40156-0;Coaching als kreativer Prozess;Richter, Kurt F.;20150520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-52104-6;Die Bekenntnisschriften der Evangelisch-Lutherischen Kirche;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30066-4;'Dann sprang er über Bord';Reger, Karl-Heinz;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-80008-9;Wissenschaftliche Schulen;-;20140926;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-63057-1;Dienst am Wort Sonderausgabe Symbole;Goldschmidt, Stephan;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-55076-2;The Courtier and the Governor;Burt, Sean;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-55912-4;Pietismus und Neuzeit Band 40 - 2014;-;20141210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40464-6;Etwas mehr Hirn, bitte;Hüther, Gerald;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-46213-3;Die Macht der inneren Bilder;Hüther, Gerald;20140122;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99704-9;Die Weisheit Salomos;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99550-2;Systemische Beratung und Familientherapie – kurz, bündig, alltagstauglich;Fryszer, Andreas /Schwing, Rainer;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30166-1;Vergessene Vielfalt;-;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-70214-7;Glaube, Gott und letztes Geleit;Meyer, Karlo;20150422;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40367-0;Personalmanagement in Familienunternehmen;Haralambie, Dana /Kebbekus, Robert;20141001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-80608-1;Suizid: Aus-Weg-Los!?;-;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30074-9;Augenzeugenschaft, Visualität, Politik;Maischein, Hannah;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-45372-9;Systemisches Handwerk;Fryszer, Andreas /Schwing, Rainer;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99543-4;Towards Mutual Security;-;20140122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53616-2;Trauma and Traumatization in Individual and Collective Dimensions;-;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-62429-6;Lebensweisheit und Praktische Theologie;-;20140122;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-40366-2;Gender und Beratung;-;20141022;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-53615-5;The Portrayals of the Pharisees in the Gospels and Acts;Marshall, Mary;20141119;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-80220-6;Lustrum Band 56 – 2014;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-70207-0;Inklusion im Religionsunterricht;Grasser, Patrick;20140618;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-54016-9;Christian Apocrypha;-;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-60450-2;More than a Provocation;Knauss, Stefanie;20140402;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99626-4;Reli für Jungs;Obenauer, Andreas;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99664-6;Teamcoaching und Teamsupervision;Obermeyer, Klaus /Pühl, Harald;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40249-9;Elemente der Themenzentrierten Interaktion (TZI);-;20150617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40458-4;Schreib dich gesund;Heimes, Silke;20150218;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-525-10100-1;Veluti apostolus Germaniae;Foresta, Patrizio;20151001;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
