ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-49153-0;Beruflich in Griechenland;Maurus, Melanie /Thomas, Alexander;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99535-9;Ängstliche Kinder unterstützen;Lebowitz, Eli /Omer, Haim;20150128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-45376-6;Systemische Beratung und Familientherapie - kurz, bündig, alltagstauglich;Fryszer, Andreas /Schwing, Rainer;20150128;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
978-3-647-40377-9;Integrationsmanagement – Onboarding neuer Mitarbeiter;Habermann, Wolfgang /Lohaus, Daniela;20150422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-92006-1;Alles, was in mir steckt: Kreatives Schreiben im systemischen Kontext;Haußmann, Renate /Rechenberg-Winter, Petra;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99663-9;Trauernde hören, wertschätzen, verstehen;Mucksch, Norbert;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-23013-8;Urteil und Erfahrung;Enskat, Rainer;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-55072-4;Argula von Grumbach;Matheson, Peter;20140312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99636-3;Gruppenpsychotherapie und Gruppenanalyse;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40461-5;Das späte Echo von Kriegskindheiten;-;20140813;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-85427-3;Arme und Armut in Göttingen 1860-1914;Schallmann, Jürgen;20140618;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99652-3;Denken kann trösten;Zwierlein, Eduard;20140917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-40227-6;Handbuch Kindertrauer;-;20140716;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-30079-4;Grabgesang der Demokratie;Schletter, Christian;20150520;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-99610-3;Kinder coachen: die bessere Pädagogik;Ruppert, Anne;20140618;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
